2,4-Дактив, КЭ|Рапира, КЭ; Эндимион, КЭ; 
Тридим, КС|--
Тризлак, ВДГ|Агростар, ВДГ; Альфа Стар, ВДГ; Аргамак, ВДГ; Аргамак, ВДГ-1001; Артстар, ВДГ; Бен Гур, ВДГ; Бенрил, ВДГ; Гекстар, ВДГ; Герсотил, ВДГ; Герсотил, ВДГ+; Гран-при, ВДГ; Гранат, ВДГ; Гранд Плюс, ВДГ; Гранилин, ВДГ; Гренадер, ВДГ; Громстор, ВДГ; Грэнери, ВДГ; Гюрза, СП; Коррида, ВДГ; Мортира, ВДГ; Норман, ВДГ; Прометей, ВДГ; Ранголи-Трибенурон, ВДГ; Санфло, ВДГ; Спецназ 750, ВДГ; Сталкер, ВДГ; Старбокс, СТС; Суперстар, ВДГ; Таллер, ВДГ; Террастар, ВДГ; ТриАлт, ВДГ; Трибел, ВДГ; Трибинстар, ВДГ; Трибун, СТС; Трибунал, ВДГ; Триметил, ВДГ; Триммер, ВДГ; Ферат, ВДГ; Флюенс, ВДГ; Химстар, ВДГ; Шанстар, ВДГ; Экспресс, ВДГ;
Тример, ВДГ|Алтис, ВДГ; Арпад, ВДГ; Гримс, ВДГ; Денди, СТС; Кассиус, ВРП; Маис, СТС; Ранголи-Тиран, ВДГ; Риманол, ВДГ; Римлин, ВДГ; Римус, ВДГ; Римэкс, ВДГ; Ромул, ВДГ; Титус, СТС; Шантус, ВДГ; 
Триммер, ВДГ|Агростар, ВДГ; Альфа Стар, ВДГ; Аргамак, ВДГ; Аргамак, ВДГ-1001; Артстар, ВДГ; Бен Гур, ВДГ; Бенрил, ВДГ; Гекстар, ВДГ; Герсотил, ВДГ; Герсотил, ВДГ+; Гран-при, ВДГ; Гранат, ВДГ; Гранд Плюс, ВДГ; Гранилин, ВДГ; Гренадер, ВДГ; Громстор, ВДГ; Грэнери, ВДГ; Гюрза, СП; Коррида, ВДГ; Мортира, ВДГ; Норман, ВДГ; Прометей, ВДГ; Ранголи-Трибенурон, ВДГ; Санфло, ВДГ; Спецназ 750, ВДГ; Сталкер, ВДГ; Старбокс, СТС; Суперстар, ВДГ; Таллер, ВДГ; Террастар, ВДГ; ТриАлт, ВДГ; Трибел, ВДГ; Трибинстар, ВДГ; Трибун, СТС; Трибунал, ВДГ; Тризлак, ВДГ; Триметил, ВДГ; Ферат, ВДГ; Флюенс, ВДГ; Химстар, ВДГ; Шанстар, ВДГ; Экспресс, ВДГ;
Тринити, КЭ|АЛЬФА БРИГАДИР, КЭ; Бетакем, КЭ; Бетанал Прогресс ОФ, КЭ; Бетанал Эксперт ОФ, КЭ; Бетахим Эксперт, КЭ; Беташанс Трио, КЭ; Бетинол Плюс, КЭ; Битатрин, КЭ; Бифор Прогресс, ВСК; Вымпел 3, КЭ; Горизонт, КЭ; Гуд-Харвест Свекольный Гербицид, КЭ; Древер, КЭ; Комрад, КЭ; Лидер, КЭ; Профессор, КЭ; Ратник, КЭ; Секира Элит, КЭ; Синбетан Эксперт ОФ, КЭ; Эксперт Трио ОФ, КЭ;
Трисил, ВДГ|--
Тристар, СП|Альфа-Прометрин, КС; Бриг, КС; Гезагард, КС; Гезадар, КС; Гонор, КС; Гордон, КС; Кратерр, КС; Позитив Плюс, КС; Промекс, КС; Променад, КС; Промет, КС; Прометрин, СК; Промобел, КС; Сармат, КС; Фортис, КС; Шансгард, КС; 
Триходерма Вериде 471, СП|--
Трихоплант, СК|--
Трихофит Плюс, Ж|--
Трихоцин, СП|--
Трицепс, ВДГ|--
Туарег, СМЭ|--
Турион, КЭ|--
УкоренитЪ, СП|Коренник, СП; Корень Супер, ВРГ; Корневин, СП; Корней, СП; Корнерост М, КРП; Корнестим, СП; 
Укротитель, КЭ|Ирбис 100, КЭ (АГРус); Ирбис 100, КЭ (АГРУСХИМ); Оцелот, КЭ; Скорпио Супер, КЭ; Тайгер 100, КЭ; Тигран, КЭ; Феноксаган, КЭ; Феноксоп 100, КЭ; 
Улис, ВДГ|Профит Голд, ВДГ; Санитар, ВДГ; Танос, ВДГ; Таношанс, ВДГ; Тонус, ВДГ; Фамокс, ВДГ; Целитель, ВДГ;
Ультор, МД|--
Универсал, СП|Глайдер, КС; Универсал, КС; 
Унико, ККР|--
Ураган Форте, ВР|Факел Экстра, ВР; 
Фабиан, ВДГ|--
Фабрис, ЭМВ|Авантикс Экстра, ЭМВ; Ирбис, ЭМВ; Оцелот Плюс, КЭ; Тайгер, ЭМВ; Феноксоп 7.5, ЭМВ; Фокстрот, ВЭ; Шансюген, ВЭ;
Фаворит Трио, КС |Доспех 3, КС; Тритон, КС; Шансил Трио, КС; 
Фазис, ВДГ|Акарб, ВДГ; Инсегар, ВДГ; Фора, СП; 
Фазор, ВГ|Гидрамак, ВРП; 
Файтер, ВР|Альфа Атаман, ВР; Ампир, ВР; Аргумент, ВР; Гелиос, ВР; Граунд, ВР; Глибел, ВР; ГлиБест, ВР; Глифид, ВР; Глифоголд, ВР; Глифор, ВР; Глифот, ВР; Глифошанс, ВР; Дзюдо, ВР; Зеро, ВР; Кайман, ВР; Напалм, ВР; Пилараунд, ВР; Рауль, ВР; Раундап, ВР; Росейт, ВР; Спрут, ВР; Тайфун, ВР; Торнадо, ВР; Торнадо, ВР 2585; Тотал, ВР; Факел, ВР; Чистогряд, ВР;
Факел Экстра, ВР|Ураган Форте, ВР;
Факел, ВР |Альфа Атаман, ВР; Ампир, ВР; Аргумент, ВР; Гелиос, ВР; Граунд, ВР; Глибел, ВР; ГлиБест, ВР; Глифид, ВР; Глифоголд, ВР; Глифор, ВР; Глифот, ВР; Глифошанс, ВР; Дзюдо, ВР; Зеро, ВР; Кайман, ВР; Напалм, ВР; Пилараунд, ВР; Рауль, ВР; Раундап, ВР; Росейт, ВР; Спрут, ВР; Тайфун, ВР; Торнадо, ВР; Торнадо, ВР 2585; Тотал, ВР; Файтер, ВР; Чистогряд, ВР;
Фалькон, КЭ|--
Фамокс, ВДГ|Профит Голд, ВДГ; Санитар, ВДГ; Танос, ВДГ; Таношанс, ВДГ; Тонус, ВДГ; Улис, ВДГ; Целитель, ВДГ;
Фанданго, КЭ|--
Фараон, КЭ|Икарус, В КЭ; Гранберг, КЭ; Колосаль, КЭ; Тебузол, ВЭ; Фезан 250, КЭ; Фоликур, КЭ; Шансил, КС; 
Фарго, КС|--
Фарди, КЭ|Дискор, КЭ; Дискор, КЭ 2347; Плантенол, КЭ; Раёк, КЭ; Ранголи-Курсор, КЭ; Скор, КЭ; Скорошанс, КЭ; Скорый, КЭ; Хранитель, КЭ; Чистоцвет, КЭ; Эпсилон, КЭ;
ФАС, серная шашка|Виташанс, ВДГ; Кумулус ДФ, ВДГ; Микротиол Специаль, ВДГ; Тиовит Джет, ВДГ;
Фаскорд, КЭ|Айвенго, КЭ; Аккорд, КЭ; АлтАльф, КЭ; Альтаир, КЭ; Альтерр, КЭ; Альфа Ринг, КЭ; Альфа-Ципи, КЭ; Альфабел, КЭ; Альфаметрин, КЭ; Альфатек, КЭ; Альфацин, КЭ; Армин, КЭ; Атрикс, КЭ; Мамба, КЭ; Неофрал, КЭ; Острог, МК; Пикет, КЭ; Фастак, КЭ; Фасшанс, КЭ; Фатрин, КЭ; Цезарь, КЭ; Цепеллин, КЭ; Ци-Альфа, КЭ; Цунами, КЭ;
Фастак, КЭ|Айвенго, КЭ; Аккорд, КЭ; АлтАльф, КЭ; Альтаир, КЭ; Альтерр, КЭ; Альфа Ринг, КЭ; Альфа-Ципи, КЭ; Альфабел, КЭ; Альфаметрин, КЭ; Альфатек, КЭ; Альфацин, КЭ; Армин, КЭ; Атрикс, КЭ; Мамба, КЭ; Неофрал, КЭ; Острог, МК; Пикет, КЭ; Фаскорд, КЭ; Фасшанс, КЭ; Фатрин, КЭ; Цезарь, КЭ; Цепеллин, КЭ; Ци-Альфа, КЭ; Цунами, КЭ;
Фасшанс, КЭ|Айвенго, КЭ; Аккорд, КЭ; АлтАльф, КЭ; Альтаир, КЭ; Альтерр, КЭ; Альфа Ринг, КЭ; Альфа-Ципи, КЭ; Альфабел, КЭ; Альфаметрин, КЭ; Альфатек, КЭ; Альфацин, КЭ; Армин, КЭ; Атрикс, КЭ; Мамба, КЭ; Неофрал, КЭ; Острог, МК; Пикет, КЭ; Фаскорд, КЭ; Фастак, КЭ; Фатрин, КЭ; Цезарь, КЭ; Цепеллин, КЭ; Ци-Альфа, КЭ; Цунами, КЭ;
Фатрин, КЭ|Айвенго, КЭ; Аккорд, КЭ; АлтАльф, КЭ; Альтаир, КЭ; Альтерр, КЭ; Альфа Ринг, КЭ; Альфа-Ципи, КЭ; Альфабел, КЭ; Альфаметрин, КЭ; Альфатек, КЭ; Альфацин, КЭ; Армин, КЭ; Атрикс, КЭ; Мамба, КЭ; Неофрал, КЭ; Острог, МК; Пикет, КЭ; Фаскорд, КЭ; Фастак, КЭ; Фасшанс, КЭ; Цезарь, КЭ; Цепеллин, КЭ; Ци-Альфа, КЭ; Цунами, КЭ;
Фаэтон, КС|Агроника, КС; Иканос, МД; Корникос, КС; Мелион, КС; Милафорт, КС; Миледи, КС; Милена, КС; Нарвал, КС; Никобел, КС; Никос, КС; Ниссин, КС; Приоритет, КС; Стратег, КС; Талисман, МД; Янтарь, КС;
Фенизан, ВР|--
Феникс Дуо, КС|Допинг, КЭ; Овен, КЭ;
Феноксаган, КЭ|Ирбис 100, КЭ (АГРус); Ирбис 100, КЭ (АГРУСХИМ); Оцелот, КЭ; Скорпио Супер, КЭ; Тайгер 100, КЭ; Тигран, КЭ; Укротитель, КЭ; Феноксоп 100, КЭ; 
Феноксоп 100, КЭ|Ирбис 100, КЭ (АГРус); Ирбис 100, КЭ (АГРУСХИМ); Оцелот, КЭ; Скорпио Супер, КЭ; Тайгер 100, КЭ; Тигран, КЭ; Укротитель, КЭ; Феноксаган, КЭ;
Феноксоп 7.5, ЭМВ|Авантикс Экстра, ЭМВ; Ирбис, ЭМВ; Оцелот Плюс, КЭ; Тайгер, ЭМВ; Фабрис, ЭМВ; Фокстрот, ВЭ; Шансюген, ВЭ;
Феразим Грин, КС|--
Феразим, КС|Аксиома, КС; Кредо, СК; Сарфун, СК; Доктор Кроп, КС; Зим 500, КС; Зимошанс, КС; Казим, КС; Казимир, КС; Карбезим, КС; Карбонар, КС; Кардинал 500, КС; Кардон, КС; Карзибел, КС; Комфорт, КС; Дерозал Евро, КС; 
Ферат, ВДГ|Агростар, ВДГ; Альфа Стар, ВДГ; Аргамак, ВДГ; Аргамак, ВДГ-1001; Артстар, ВДГ; Бен Гур, ВДГ; Бенрил, ВДГ; Гекстар, ВДГ; Герсотил, ВДГ; Герсотил, ВДГ+; Гран-при, ВДГ; Гранат, ВДГ; Гранд Плюс, ВДГ; Гранилин, ВДГ; Гренадер, ВДГ; Громстор, ВДГ; Грэнери, ВДГ; Гюрза, СП; Коррида, ВДГ; Мортира, ВДГ; Норман, ВДГ; Прометей, ВДГ; Ранголи-Трибенурон, ВДГ; Санфло, ВДГ; Спецназ 750, ВДГ; Сталкер, ВДГ; Старбокс, СТС; Суперстар, ВДГ; Таллер, ВДГ; Террастар, ВДГ; ТриАлт, ВДГ; Трибел, ВДГ; Трибинстар, ВДГ; Трибун, СТС; Трибунал, ВДГ; Тризлак, ВДГ; Триметил, ВДГ; Триммер, ВДГ; Флюенс, ВДГ; Химстар, ВДГ; Шанстар, ВДГ; Экспресс, ВДГ;
Фидес, КЭ|Дракон Супер 100 , КЭ; Пума Супер 100, КЭ; Полгар, КЭ; Талака 100, КЭ; Топтун 100, КЭ;
Филдер 69, ВГ|Акробат МЦ, ВДГ; Гимнаст, СП; Манкодим, СП; Рапид Дуэт, СП; Соланум, СП; 
Фильтерр, КЭ|Аваксс, КЭ; Альпари, КЭ; Альтазол, КЭ; Альто Супер, КЭ; Альтрум Супер, КЭ; Анемон, КЭ; Атлант Супер, КЭ; Виртуоз, КЭ; Золтан, КЭ; Калибел, КЭ; Маэстро, КЭ; Пропишанс Супер, КЭ; Профи Супер, КЭ; Ранголи-Ципрос, КЭ; Супер Альянс, КЭ; Фунгисил, КЭ; Цимус Прогресс, КЭ; Цимус Прогресс, КЭ 1574;
Фирман, ВР|Фомаз, ВР; Фомесан, ВР; Фомесофт, ВК;
Фист, КЭ|Пенитран, КЭ; Гайтан, КЭ; Кобра, КЭ; Эстамп, КЭ;
Фитоверм М, КЭ|Фитоверм, КЭ; 
Фитоверм Форте, КЭ|Фитоверм, KЭ (10 г/л); 
Фитоверм, KЭ (10 г/л)|Фитоверм Форте, КЭ;
Фитоверм, KЭ (50 г/л)|--
Фитоверм, КЭ|Фитоверм М, КЭ;
Фитоверм, П|--
Фитолавин, ВРК|--
Фитолекарь, КС|Альфа Феникс, КС; Импакт, КС; Компакт, КС; Кэнсел, КС; Минхати, КС; Скальпель, КС; Триафол, КС; Флуафол, КС; Флуплант, КС; Флутривит, КС; Флутриобел, КС; Форис, КС;
Фитомаг, П|--
Фитомаг-Эко, П|--
Фитоплазмин, ВРК|--
Фитоспорин-М, Ж|Фитоспорин-М, ПС;
Фитоспорин-М, П|--
Фитоспорин-М, ПС|Фитоспорин-М, Ж;
ФлагАгро, ТАБ|Альфин, ТАБ ; Джинн, ТАБ; Катфос, ТАБ; Квикфос, ТАБ; Фоском, ТАБ; Фостоксин, ТАБ; Фосфин, ТАБ; Фумифаст, ТАБ; Фумифос, ТАБ; Фумишанс, ТАБ; Фумфайтер, ТАБ;
Флагман, КС|--
ФлангАгро, КЭ|ГалактАлт, КЭ; Галактион, КЭ; Галлон, КЭ; Галмет, КЭ; Галокситин, КЭ; Галоп М, КЭ; Галошанс, КЭ; Гурон, КЭ; Зеллек-супер, КЭ; Злак Супер; Злакосупер, КЭ; Канон, КЭ; Ореол, КЭ; Орион, КЭ; Ранголи Галситил, КЭ; Сокол, КЭ; Соната Супер, КЭ;
Флекс, ВР|--
Флексити, КС|--
Флинт, ВСК |--
Флокс, ВДГ|Хорист, ВДГ; Хорус, ВДГ;
Флоракс, КС|--
Флорастар, СЭ|Арбалет, СЭ; Дисулам, СЭ; Люгер, СЭ; Опричник, СЭ; Премьера, СЭ; Камаро, СЭ; 
Флоробел, СЭ|--
Флуафол, КС|Альфа Феникс, КС; Импакт, КС; Компакт, КС; Кэнсел, КС; Минхати, КС; Скальпель, КС; Триафол, КС; Фитолекарь, КС; Флуплант, КС; Флутривит, КС; Флутриобел, КС; Форис, КС;
Флудимакс, КС|Максим Дачник, КС; Максим, КС; Протект, КС;
Флуорон, ВДГ|Арбитр, СП; Арбитр АГ, СП; БитЛайт, КС; Караван, СП; Карамболь, СП; Кари-Макс, СП; Карибу С, ВДГ; Карибу, ВДГ; КариПро, ВДГ; Каришанс, ВДГ; Карнаби, ВДГ; Карриджу, ВДГ; Кондор, ВДГ; Малибу, ВДГ; Олимп, ВДГ; Рандеву, ВДГ; Форинт, ВДГ; Фурон, ВДГ;
Флуплант, КС|Альфа Феникс, КС; Импакт, КС; Компакт, КС; Кэнсел, КС; Минхати, КС; Скальпель, КС; Триафол, КС; Фитолекарь, КС; Флуафол, КС; Флутривит, КС; Флутриобел, КС; Форис, КС;
Флутеприд, ТС|--
Флутривит, КС|Альфа Феникс, КС; Импакт, КС; Компакт, КС; Кэнсел, КС; Минхати, КС; Скальпель, КС; Триафол, КС; Фитолекарь, КС; Флуафол, КС; Флуплант, КС; Флутриобел, КС; Форис, КС;
Флутриобел, КС|Альфа Феникс, КС; Импакт, КС; Компакт, КС; Кэнсел, КС; Минхати, КС; Скальпель, КС; Триафол, КС; Фитолекарь, КС; Флуафол, КС; Флуплант, КС; Флутривит, КС; Форис, КС;
Флуцит, КС|Пионер, КС; Тиазол, КС; Форпост, КС;
Фокстрот Турбо, КЭ|--
Фокстрот Экстра, КЭ |--
Фокстрот, ВЭ |Авантикс Экстра, ЭМВ; Ирбис, ЭМВ; Оцелот Плюс, КЭ; Тайгер, ЭМВ; Фабрис, ЭМВ; Феноксоп 7.5, ЭМВ; Шансюген, ВЭ;
Фолиант, КЭ|Авиаль, КЭ; 
Фоликур, КЭ|Икарус, В КЭ; Гранберг, КЭ; Колосаль, КЭ; Тебузол, ВЭ; Фараон, КЭ; Фезан 250, КЭ; Шансил, КС; 
Фомаз, ВР|Фирман, ВР; Фомесан, ВР; Фомесофт, ВК;
Фомесофт, ВК|Фирман, ВР; Фомаз, ВР; Фомесан, ВР;
Фонтелис, КС|Аффет, КС;
Фора, СП|Акарб, ВДГ; Инсегар, ВДГ; Фазис, ВДГ; 
Форвард, МКЭ|--
Форинт, ВДГ|Арбитр, СП; Арбитр АГ, СП; БитЛайт, КС; Караван, СП; Карамболь, СП; Кари-Макс, СП; Карибу С, ВДГ; Карибу, ВДГ; КариПро, ВДГ; Каришанс, ВДГ; Карнаби, ВДГ; Карриджу, ВДГ; Кондор, ВДГ; Малибу, ВДГ; Олимп, ВДГ; Рандеву, ВДГ; Флуорон, ВДГ; Фурон, ВДГ;
Форис, КС|Альфа Феникс, КС; Импакт, КС; Компакт, КС; Кэнсел, КС; Минхати, КС; Скальпель, КС; Триафол, КС; Фитолекарь, КС; Флуафол, КС; Флуплант, КС; Флутривит, КС; Флутриобел, КС;
Форпост, КС|Пионер, КС; Тиазол, КС; Флуцит, КС;
Форс Зеа, КС |--
Форс, Г|--
Форс, МКС|Тефлутрин, МКС;
Форсер Энто, КС|Витакс, КС; Имидасид, КС; Имидашанс-С, КС; Койот, Г; Койот, КС; Конрад, КС; Контадор Макси, КС; Нуприд 600, КС; Пикус, КС; Серф-Экстра, ТКС; Сидоприд, ТС; Стрит, КС; Тореадор Макси, КС;
Фортенза, КС|--
Фортис, КС|Альфа-Прометрин, КС; Бриг, КС; Гезагард, КС; Гезадар, КС; Гонор, КС; Гордон, КС; Кратерр, КС; Позитив Плюс, КС; Промекс, КС; Променад, КС; Промет, КС; Прометрин, СК; Промобел, КС; Сармат, КС; Тристар, СП; Шансгард, КС; 
Фортуна Глобал, ВДГ|Манзат, ВДГ;
Фортуна Голд, ВДГ|--
Фортуна Экстра, ВДГ|Ридомил Голд МЦ, ВДГ;
Фоском, ТАБ |Альфин, ТАБ ; Джинн, ТАБ; Катфос, ТАБ; Квикфос, ТАБ; ФлагАгро, ТАБ; Фостоксин, ТАБ; Фосфин, ТАБ; Фумифаст, ТАБ; Фумифос, ТАБ; Фумишанс, ТАБ; Фумфайтер, ТАБ;
Фостоксин, ТАБ |Альфин, ТАБ ; Джинн, ТАБ; Катфос, ТАБ; Квикфос, ТАБ; ФлагАгро, ТАБ; Фоском, ТАБ; Фосфин, ТАБ; Фумифаст, ТАБ; Фумифос, ТАБ; Фумишанс, ТАБ; Фумфайтер, ТАБ;
Фостран, КЭ|Евродим, КЭ; Альфа-Директор, КЭ; Би-58 Топ, КЭ; Бинадин, КЭ; Бишка, КЭ; Данадим Эксперт, КЭ; Ди-68, КЭ; Диметрон, КЭ; Диметус, КЭ; Димефос, КЭ; Дишанс, КЭ; Евродим, КЭ; Ранголи-Дункан, КЭ; Рогор-С, КЭ; Сирокко, КЭ; Тагор, КЭ; Террадим, КЭ; Тод, КЭ;
Фосфин, ТАБ|Альфин, ТАБ ; Джинн, ТАБ; Катфос, ТАБ; Квикфос, ТАБ; ФлагАгро, ТАБ; Фоском, ТАБ; Фостоксин, ТАБ; Фумифаст, ТАБ; Фумифос, ТАБ; Фумишанс, ТАБ; Фумфайтер, ТАБ;
Фосэтил, СП|Эфатол, СП;
Фразол Классик, КС|Раксон, КС; Стингер, КС; Тебу 60, МЭ; Тебузан, ТКС; Террасил, КС; Экономикс Колор, КС; АлтСил, КС; Бункер, ВСК; Грандсил, КС; Доспех, КС; Редут, КС; Сфинкс, КС; Тебуконазол, КС;
Фразол, КС|--
Франкорн, КС|Десперадо, КС; Интермеццо, КС; Каллисто, СК; Мезокорн, КС; Меис, КС; Шанс Голд, КС; Эгида, СК;
Фреш Форма, П|--
Фронтьер Оптима, КЭ|Блокпост, КЭ; Дифронт, КЭ; Эталон, КЭ;
Фуджи 1, КЭ|--
Фултайм, МД|--
Фумифаст, ТАБ|Альфин, ТАБ ; Джинн, ТАБ; Катфос, ТАБ; Квикфос, ТАБ; ФлагАгро, ТАБ; Фоском, ТАБ; Фостоксин, ТАБ; Фосфин, ТАБ; Фумифос, ТАБ; Фумишанс, ТАБ; Фумфайтер, ТАБ;
Фумишанс, ТАБ |Альфин, ТАБ ; Джинн, ТАБ; Катфос, ТАБ; Квикфос, ТАБ; ФлагАгро, ТАБ; Фоском, ТАБ; Фостоксин, ТАБ; Фосфин, ТАБ; Фумифаст, ТАБ; Фумифос, ТАБ; Фумфайтер, ТАБ;
Фумфайтер, ТАБ|Альфин, ТАБ ; Джинн, ТАБ; Катфос, ТАБ; Квикфос, ТАБ; ФлагАгро, ТАБ; Фоском, ТАБ; Фостоксин, ТАБ; Фосфин, ТАБ; Фумифаст, ТАБ; Фумифос, ТАБ; Фумишанс, ТАБ;
Фунгисил, КЭ|Аваксс, КЭ; Альпари, КЭ; Альтазол, КЭ; Альто Супер, КЭ; Альтрум Супер, КЭ; Анемон, КЭ; Атлант Супер, КЭ; Виртуоз, КЭ; Золтан, КЭ; Калибел, КЭ; Маэстро, КЭ; Пропишанс Супер, КЭ; Профи Супер, КЭ; Ранголи-Ципрос, КЭ; Супер Альянс, КЭ; Фильтерр, КЭ; Цимус Прогресс, КЭ; Цимус Прогресс, КЭ 1574;
Фундазол, СП|Беномил 500, СП; Беназол, СП; Бенорад, СП; Нор-Би, СП;
Фуролан, Ж|--
Фурон, ВДГ|Арбитр, СП; Арбитр АГ, СП; БитЛайт, КС; Караван, СП; Карамболь, СП; Кари-Макс, СП; Карибу С, ВДГ; Карибу, ВДГ; КариПро, ВДГ; Каришанс, ВДГ; Карнаби, ВДГ; Карриджу, ВДГ; Кондор, ВДГ; Малибу, ВДГ; Олимп, ВДГ; Рандеву, ВДГ; Флуорон, ВДГ; Форинт, ВДГ;
Фуроре Ультра, ЭМВ|--
Фуфанон Эксперт, ВЭ|Фуфанон-Нова, ВЭ;
Фуфанон, КЭ|Алиот, КЭ;
Фуфанон-Нова, ВЭ|Фуфанон Эксперт, ВЭ;
Фьюри, ВЭ|Ньюстар, КЭ; Таран, ВЭ;
Фюзилад Супер, КЭ|--
Фюзилад Форте, КЭ|Легионер, КЭ;
Хайп, КС|Кинто Дуо, КС;
Хакер 300, ВР|Агрон, ВР; Альфа-Пиралид, ВР; Бис-300, ВР; Газонтрел, ВР; Клорит, ВР; Корректор, ВР; Лонган, ВР; Лонтрел-300, ВР; Лорнет, ВР; Премьер 300, ВР; Хатор, ВР; Цукрон+, ВР; Шанстрел 300, ВР; 
Хакер, ВРГ|Агрон Гранд, ВДГ; Клео, ВДГ; Клопер 750, ВДГ; Клопирид, ВДГ; Лонтерр, ВДГ; Лонтрел гранд, ВДГ; Монолит, ВДГ; Приклад, ВДГ; Силард, ВДГ; Сонхус, ВДГ; Чермен, ВДГ; 
Хантер, КЭ|Отличник, КЭ; Тарга Супер, КЭ; Таргет Супер, КЭ;
Харвест-Макс, Р|--
Харита, КС|--
Хармони Про, ВДГ|Алсион, ВДГ; Аллерт, СТС; Альфа-Гард, ВДГ; Купаж, ВДГ; Танит, МД; Тифенс, ВДГ; Тифи, ВДГ; ТифилАгро, ВДГ; Хармони, СТС; Шансти, ВДГ; 
Хармони, СТС|Алсион, ВДГ; Аллерт, СТС; Альфа-Гард, ВДГ; Купаж, ВДГ; Танит, МД; Тифенс, ВДГ; Тифи, ВДГ; ТифилАгро, ВДГ; Хармони Про, ВДГ; Шансти, ВДГ; 
Хатор, ВР|Агрон, ВР; Альфа-Пиралид, ВР; Бис-300, ВР; Газонтрел, ВР; Клорит, ВР; Корректор, ВР; Лонган, ВР; Лонтрел-300, ВР; Лорнет, ВР; Премьер 300, ВР; Хакер 300, ВР; Цукрон+, ВР; Шанстрел 300, ВР; 
Хевимет Голд, КС|Вождь, СК; Гардо Голд, КС; Гардо Голд, КС 2279; Грасс, КС; Ирвин, СЭ; Камелот, СЭ; Киборг, КС; Террагард, СЭ; Толазин, СЭ;
Хевимет, КЭ|Авангард, КЭ; Анаконда, КЭ; Бегин, КЭ; Гуд-Харвест С-Метолахлор, КЭ; Джиндур, КЭ; Дифилайн, КЭ; Дуал Голд, КЭ; Душанс, КЭ; Метолс, КЭ; Ранголи-Дон, КЭ; Селена, КЭ; Симба, КЭ; Стрим, КЭ; Телус, КЭ;
Хеликовекс, СК|--
Хет-Трик, СК|Хет-Трик, СК фунгицид;
Хет-Трик, СК фунгицид|Хет-Трик, СК;
Хилер, МКЭ|Багира, КЭ; Лемур, КЭ; Пантера, КЭ; 
ХимАгроМаркетинг Тиабен Т, ТКС|--
Химера, КЭ|Миура, КЭ;
Химстар, ВДГ|Агростар, ВДГ; Альфа Стар, ВДГ; Аргамак, ВДГ; Аргамак, ВДГ-1001; Артстар, ВДГ; Бен Гур, ВДГ; Бенрил, ВДГ; Гекстар, ВДГ; Герсотил, ВДГ; Герсотил, ВДГ+; Гран-при, ВДГ; Гранат, ВДГ; Гранд Плюс, ВДГ; Гранилин, ВДГ; Гренадер, ВДГ; Громстор, ВДГ; Грэнери, ВДГ; Гюрза, СП; Коррида, ВДГ; Мортира, ВДГ; Норман, ВДГ; Прометей, ВДГ; Ранголи-Трибенурон, ВДГ; Санфло, ВДГ; Спецназ 750, ВДГ; Сталкер, ВДГ; Старбокс, СТС; Суперстар, ВДГ; Таллер, ВДГ; Террастар, ВДГ; ТриАлт, ВДГ; Трибел, ВДГ; Трибинстар, ВДГ; Трибун, СТС; Трибунал, ВДГ; Тризлак, ВДГ; Триметил, ВДГ; Триммер, ВДГ; Ферат, ВДГ; Флюенс, ВДГ; Шанстар, ВДГ; Экспресс, ВДГ;
Хинуфур, КС|--
Хит, СП|Аккурат, ВДГ; Гренч, СП; Делегат, ВДГ; Зингер, СП; Ларен Мет Про, ВДГ; Ларен Про, ВДГ; Магнум, ВДГ; МетАлт, ВДГ; Метметил, ВДГ; Наномет, СП; Сарацин, ВДГ; Террамет, ВДГ;
Хищник, Г|Аксела, Г; Гроза-3, Г; Слизнеед Нео, Г; СтопУлит, Г;
Хлорошанс, СП|Оксихом, ВДГ; Оксихом, СП; Протон Экстра, ВДГ; Протон, СП; Хомоксил, ВДГ;
Хлорпирифос, КЭ|Дурсбан, КЭ; Европир, КЭ; Парус, КЭ; Сайрен, КЭК; Тайра, КЭ;
ХОМ, СП|--
Хомоксил, ВДГ|Оксихом, ВДГ; Оксихом, СП; Протон Экстра, ВДГ; Протон, СП; Хлорошанс, СП;
Хорист, ВДГ|Флокс, ВДГ; Хорус, ВДГ;
Хорс Д, КС|--
Хорс, ВДГ|Вояж, ВДГ; ВЛ 77, Ж; Нэо, ВДГ;
Хортон, КС|Приам, КЭ;
Хорус, ВДГ|Флокс, ВДГ; Хорист, ВДГ; 
Х-Панд, Ж|--
Хранитель, КЭ|Дискор, КЭ; Дискор, КЭ 2347; Плантенол, КЭ; Раёк, КЭ; Ранголи-Курсор, КЭ; Скор, КЭ; Скорошанс, КЭ; Скорый, КЭ; Фарди, КЭ; Чистоцвет, КЭ; Эпсилон, КЭ;
Х-Сайт, Ж|--
ХЭФК, ВР|--
Цаца, ПС|--
Цветень, КРП|--
Цветолюкс Бау, ВР|Искра Золотая Просто, ВР; Биотлин Бау, ВР;
Це Це Це 750, ВК|Ретацел, ВК; Рэгги, ВРК; Цегран, ВК; Центрино, ВК;
Цегран, ВК|Ретацел, ВК; Рэгги, ВРК; Це Це Це 750, ВК; Центрино, ВК;
